informative_lh,prior,lh,left_pred,red_observation,run
True,0.5,0.2,0.0,False,0
False,0.2,0.5,0.5,False,0
True,0.6,0.2,99,False,1
False,0.9,0.5,0.0,True,1
True,0.5,0.1,0.0,False,2
False,0.2,0.5,0.0,True,2
True,0.6,0.8,0.0,False,3
False,0.8,0.4,0.6,True,3
True,0.5,0.8,23,False,4
False,0.8,0.4,0.5,True,4
True,0.4,0.3,26,False,5
False,0.8,0.4,94,False,5
True,0.6,0.9,0.5,True,6
False,0.8,0.4,0.6,False,6
True,0.5,0.2,0.0,False,7
False,0.2,0.6,0.0,False,7
True,0.5,0.2,0.0,True,8
False,0.7,0.5,0.5,False,8
True,0.4,0.2,0.0,True,9
False,0.2,0.4,0.0,True,9
True,0.6,0.2,0.0,False,10
False,0.3,0.5,0.0,False,10
True,0.5,0.9,0.5,False,11
False,0.2,0.6,88,False,11
True,0.4,0.1,0.5,True,12
False,0.9,0.4,0.0,False,12
True,0.4,0.7,0.0,False,13
False,0.1,0.6,0.0,True,13
True,0.4,0.1,0.5,True,14
False,0.1,0.6,0.0,False,14
True,0.5,0.1,0.5,True,15
False,0.1,0.4,0.0,False,15
True,0.5,0.9,0.0,False,16
False,0.7,0.6,0.4,True,16
True,0.5,0.1,0.5,True,17
False,0.2,0.6,0.5,True,17
True,0.4,0.7,68,False,18
False,0.2,0.5,0.0,False,18
True,0.4,0.9,0.0,False,19
False,0.8,0.6,0.0,False,19
True,0.4,0.1,0.5,False,20
False,0.7,0.6,0.0,True,20
True,0.5,0.9,0.0,True,21
False,0.1,0.4,0.0,False,21
True,0.4,0.7,0.5,True,22
False,0.1,0.6,0.5,True,22
True,0.6,0.3,0.5,False,23
False,0.8,0.5,0.5,True,23
True,0.5,0.1,95,True,24
False,0.3,0.5,0.5,True,24
True,0.5,0.2,0.8,True,25
False,0.8,0.4,0.5,True,25
True,0.4,0.2,0.5,True,26
False,0.2,0.5,0.5,False,26
True,0.4,0.8,0.5,False,27
False,0.9,0.5,0.0,False,27
True,0.5,0.2,0.5,False,28
False,0.3,0.6,0.0,False,28
True,0.6,0.8,0.0,False,29
False,0.3,0.6,30,False,29
True,0.5,0.7,0.5,True,30
False,0.7,0.4,0.5,False,30
True,0.6,0.7,0.5,False,31
False,0.9,0.6,0.0,False,31
True,0.4,0.8,80,False,32
False,0.7,0.4,21,False,32
True,0.4,0.9,68,True,33
False,0.7,0.6,0.5,True,33
True,0.5,0.8,0.5,True,34
False,0.9,0.6,0.0,True,34
True,0.6,0.3,0.5,False,35
False,0.7,0.5,0.0,False,35
