informative_lh,prior,lh,left_pred,red_observation,run
True,0.4,0.8,55,True,0
False,0.2,0.6,97,True,0
True,0.5,0.1,89,False,1
False,0.2,0.5,78,False,1
True,0.5,0.1,93,False,2
False,0.3,0.5,31,True,2
True,0.5,0.1,36,True,3
False,0.8,0.6,68,True,3
True,0.4,0.7,38,True,4
False,0.1,0.4,95,False,4
True,0.5,0.2,26,False,5
False,0.7,0.4,03,True,5
True,0.6,0.1,78,False,6
False,0.3,0.5,96,False,6
True,0.4,0.7,02,True,7
False,0.9,0.5,01,True,7
True,0.5,0.3,75,False,8
False,0.9,0.4,77,False,8
True,0.4,0.8,72,True,9
False,0.9,0.5,36,False,9
True,0.6,0.1,98,False,10
False,0.2,0.4,71,True,10
True,0.5,0.2,90,True,11
False,0.2,0.5,77,False,11
True,0.5,0.7,84,False,12
False,0.7,0.5,85,False,12
True,0.4,0.2,76,False,13
False,0.8,0.4,98,False,13
True,0.4,0.3,80,False,14
False,0.7,0.4,94,False,14
True,0.5,0.2,97,False,15
False,0.8,0.6,67,False,15
True,0.4,0.2,01,True,16
False,0.1,0.5,87,True,16
True,0.5,0.1,91,True,17
False,0.3,0.4,27,False,17
True,0.4,0.7,18,True,18
False,0.2,0.5,94,True,18
True,0.5,0.3,86,True,19
False,0.8,0.6,78,False,19
True,0.5,0.2,22,True,20
False,0.3,0.6,30,True,20
True,0.5,0.9,07,True,21
False,0.1,0.5,54,False,21
True,0.6,0.1,11,False,22
False,0.8,0.4,54,True,22
True,0.6,0.7,68,False,23
False,0.2,0.5,41,True,23
True,0.5,0.9,28,True,24
False,0.1,0.4,92,False,24
True,0.6,0.8,39,False,25
False,0.9,0.6,91,False,25
True,0.6,0.3,07,True,26
False,0.9,0.5,26,False,26
True,0.5,0.9,50,False,27
False,0.1,0.5,20,False,27
True,0.5,0.2,61,False,28
False,0.3,0.6,05,False,28
True,0.6,0.9,10,True,29
False,0.2,0.6,03,True,29
True,0.4,0.9,14,True,30
False,0.1,0.6,98,False,30
True,0.5,0.1,89,False,31
False,0.1,0.4,41,True,31
True,0.6,0.8,07,True,32
False,0.1,0.5,38,False,32
True,0.6,0.3,98,True,33
False,0.1,0.5,63,True,33
True,0.5,0.2,64,False,34
False,0.2,0.4,58,True,34
True,0.5,0.3,62,False,35
False,0.9,0.5,10,True,35
True,0.4,0.8,01,False,36
False,0.1,0.6,16,True,36
True,0.4,0.3,85,True,37
False,0.9,0.5,47,True,37
True,0.5,0.2,78,False,38
False,0.7,0.4,25,True,38
True,0.6,0.7,35,True,39
False,0.8,0.5,44,False,39
True,0.6,0.1,79,False,40
False,0.9,0.5,76,True,40
True,0.4,0.3,16,False,41
False,0.1,0.4,77,True,41
True,0.5,0.3,94,True,42
False,0.3,0.6,04,False,42
True,0.5,0.8,38,True,43
False,0.1,0.6,78,False,43
True,0.4,0.3,27,False,44
False,0.1,0.6,01,False,44
